"wflow_id",".config","preproc","model",".metric",".estimator","mean","n","std_err"
"bazowy_przepis_log_reg","pre0_mod13_post0","recipe","logistic_reg","precision","binary",0.318521252763696,5,0.00548600742793377
"bazowy_przepis_log_reg","pre0_mod13_post0","recipe","logistic_reg","recall","binary",0.644572342764272,5,0.00549428690700221
"bazowy_przepis_log_reg","pre0_mod13_post0","recipe","logistic_reg","roc_auc","binary",0.784238240609682,5,0.00220590334351679
"bazowy_przepis_decision_tree","pre0_mod04_post0","recipe","decision_tree","f_meas","binary",0.415612513256884,5,0.00279418039793659
"bazowy_przepis_decision_tree","pre0_mod04_post0","recipe","decision_tree","pr_auc","binary",0.457632179321107,5,0.014225461603507
"bazowy_przepis_decision_tree","pre0_mod04_post0","recipe","decision_tree","precision","binary",0.305060211662537,5,0.00292520049005341
"bazowy_przepis_decision_tree","pre0_mod04_post0","recipe","decision_tree","recall","binary",0.65211443372646,5,0.00474970347595977
"bazowy_przepis_decision_tree","pre0_mod04_post0","recipe","decision_tree","roc_auc","binary",0.762917131641674,5,0.00274785840073323
"bazowy_przepis_decision_tree","pre0_mod05_post0","recipe","decision_tree","f_meas","binary",0.415612513256884,5,0.00279418039793659
"bazowy_przepis_decision_tree","pre0_mod05_post0","recipe","decision_tree","pr_auc","binary",0.457632179321107,5,0.014225461603507
"bazowy_przepis_decision_tree","pre0_mod05_post0","recipe","decision_tree","precision","binary",0.305060211662537,5,0.00292520049005341
"bazowy_przepis_decision_tree","pre0_mod05_post0","recipe","decision_tree","recall","binary",0.65211443372646,5,0.00474970347595977
"bazowy_przepis_decision_tree","pre0_mod05_post0","recipe","decision_tree","roc_auc","binary",0.762917131641674,5,0.00274785840073323
"bazowy_przepis_decision_tree","pre0_mod06_post0","recipe","decision_tree","f_meas","binary",0.415612513256884,5,0.00279418039793659
"bazowy_przepis_decision_tree","pre0_mod06_post0","recipe","decision_tree","pr_auc","binary",0.457632179321107,5,0.014225461603507
"bazowy_przepis_decision_tree","pre0_mod06_post0","recipe","decision_tree","precision","binary",0.305060211662537,5,0.00292520049005341
"bazowy_przepis_decision_tree","pre0_mod06_post0","recipe","decision_tree","recall","binary",0.65211443372646,5,0.00474970347595977
